City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,blind river,46.1834,-82.9582,1.06,77,100,2.85,CA,1670288299
293,huilong,31.8111,121.655,11.07,64,4,2.66,CN,1670288299
294,mutata,7.2441,-76.4356,22.18,97,77,1.23,CO,1670288300
295,sitka,57.0531,-135.33,2.94,87,100,2.06,US,1670288144
296,wenling,28.3669,121.36,10.33,73,55,5.01,CN,1670288300
297,airai,-8.9266,125.4092,23.68,42,66,0.82,TL,1670288301
298,bayshore gardens,27.4253,-82.5904,22.21,68,9,3.05,US,1670288302
299,synya,65.3718,58.0387,-14.29,93,92,4.9,RU,1670288302
300,tugulym,57.0591,64.6425,-16.96,100,24,1.42,RU,1670288303
301,texarkana,33.4251,-94.0477,20.69,89,18,4.02,US,1670288303
302,banjar,-8.19,114.9675,29.47,66,100,0.69,ID,1670288304
303,egvekinot,66.3167,-179.1667,-9.3,86,100,12.08,RU,1670288304
304,alice town,25.7167,-79.3,24.66,71,12,6.59,BS,1670288305
305,warri,5.5167,5.75,25.67,88,79,1.5,NG,1670288305
306,nouadhibou,20.931,-17.0347,19.99,77,47,6.17,MR,1670288119
307,la baule-escoublac,47.2922,-2.364,4.81,92,100,4.63,FR,1670288306
308,torbay,47.6666,-52.7314,4.21,96,100,0.0,CA,1670288306
309,maceio,-9.6658,-35.7353,23.69,94,75,2.57,BR,1670288307
310,linjiang,41.8069,126.9078,-9.02,68,4,1.63,CN,1670288307
311,gol,60.7014,8.9457,0.53,93,100,1.29,NO,1670288308
312,phan thiet,10.9333,108.1,26.06,77,38,1.29,VN,1670288308
313,ca mau,9.1769,105.15,26.96,83,13,4.5,VN,1670288309
314,cap malheureux,-19.9842,57.6142,23.04,80,100,1.34,MU,1670288309
315,vermillion,42.7794,-96.9292,-5.03,77,98,2.44,US,1670288310
316,canmore,51.0834,-115.3521,-9.29,85,100,1.03,CA,1670288310
317,lagoa,39.05,-27.9833,15.97,78,100,11.69,PT,1670288310
318,yulara,-25.2406,130.9889,37.93,10,0,9.48,AU,1670288311
319,pecos,31.4229,-103.4932,22.7,49,0,3.6,US,1670288311
320,kharan,28.5833,65.4167,10.64,44,0,2.21,PK,1670288312
321,thunder bay,48.4001,-89.3168,-9.01,57,75,4.12,CA,1670288064
322,maturin,9.75,-63.1767,21.43,92,10,2.48,VE,1670288312
323,nabire,-3.3667,135.4833,30.0,56,46,1.83,ID,1670288313
324,esperance,-33.8667,121.9,17.97,70,100,4.27,AU,1670288313
325,acapulco,16.8634,-99.8901,25.61,79,0,2.57,MX,1670288314
326,charters towers,-20.1,146.2667,32.2,27,0,1.8,AU,1670288314
327,katsuura,35.1333,140.3,8.72,92,100,8.65,JP,1670288315
328,ajaccio,42.0,8.9167,8.03,82,75,3.09,FR,1670288315
329,manuk mangkaw,4.8,119.85,28.12,73,76,3.28,PH,1670288316
330,muros,42.7762,-9.0603,10.61,92,100,1.26,ES,1670287813
331,gondanglegi,-7.7479,112.0132,27.57,77,100,0.05,ID,1670288317
332,mporokoso,-9.3727,30.125,15.22,96,91,0.99,ZM,1670288317
333,huandacareo,19.9833,-101.2833,17.1,41,0,0.92,MX,1670288318
334,santa isabel do rio negro,-0.4139,-65.0192,24.8,87,100,0.8,BR,1670288318
335,karibib,-21.9333,15.8333,16.82,24,0,1.48,NA,1670288319
336,palu,-0.8917,119.8707,28.99,77,90,0.16,ID,1670288319
337,chicama,-7.8447,-79.1469,18.3,78,0,2.51,PE,1670288320
338,te anau,-45.4167,167.7167,11.68,80,98,1.54,NZ,1670288321
339,port elizabeth,-33.918,25.5701,15.73,89,20,4.12,ZA,1670288321
340,baykit,61.67,96.37,-15.76,95,99,2.87,RU,1670288322
341,billings,45.7833,-108.5007,-3.05,96,22,1.98,US,1670288103
342,coahuayana,18.7333,-103.6833,24.59,86,14,0.8,MX,1670288322
343,saucillo,28.0167,-105.2833,23.65,30,100,2.09,MX,1670288323
344,koroni,36.8,21.95,14.48,75,100,2.51,GR,1670288323
345,medicine hat,50.0501,-110.6683,-11.45,84,100,4.12,CA,1670288324
346,hamilton,39.1834,-84.5333,7.52,83,100,4.63,US,1670288027
347,novopokrovka,49.8425,36.5477,-6.79,46,18,3.94,UA,1670288325
348,nanzhang,31.7765,111.8386,5.58,56,95,0.59,CN,1670288325
349,anage,-14.6122,-41.1356,19.13,93,85,1.2,BR,1670288325
350,norman wells,65.282,-126.8329,-28.98,76,20,6.69,CA,1670288326
351,sept-iles,50.2001,-66.3821,1.29,75,100,4.63,CA,1670288172
352,dwarka,22.2394,68.9678,22.37,45,0,5.42,IN,1670288327
353,george,-33.963,22.4617,12.75,88,20,1.03,ZA,1670288327
354,hanmer springs,-42.5167,172.8167,22.16,32,5,4.26,NZ,1670288328
355,clyde river,70.4692,-68.5914,-9.87,100,100,1.54,CA,1670288328
356,solnechnyy,50.7214,136.6319,-16.47,78,100,1.77,RU,1670288204
357,caronport,50.4501,-105.8179,-17.89,91,100,1.77,CA,1670288329
358,glinka,54.6404,32.8781,-8.2,85,100,4.21,RU,1670288329
359,mandalgovi,45.7625,106.2708,-14.71,35,0,2.73,MN,1670288330
360,pathein,16.7833,94.7333,23.59,76,23,2.13,MM,1670288330
